month,mobile_app,mobile_web,tablet_app,tablet_web,unknown_app,unknown_web
2016-10-01,124735,74302,17271,7181,1002,184
2016-11-01,145997,106773,19690,10037,942,239
2016-12-01,153243,118585,19346,10870,839,250
2017-01-01,137245,80102,16703,8630,645,157
2017-02-01,80665,39805,9856,4333,406,65
2017-03-01,95775,41743,10336,4473,377,77
2017-04-01,80117,28887,8913,3220,270,44
2017-05-01,78466,22973,8776,2547,247,35
2017-06-01,70790,26343,7359,2412,225,23
2017-07-01,63347,32273,6345,2751,190,33
2017-08-01,27744,12670,2554,1107,73,19
